%time,field.stamp,field.px,field.py,field.vx,field.vy,field.ux,field.uy
1749000000,1749000000,0.04483702379845354,2.9549627613148925,0.07327455022858331,0.0727264592966304,0.2,0.2
1849000000,1849000000,0.0543106108467141,2.9454048914576805,0.08038742548766412,0.07856052333451992,0.2,0.2
1949000000,1949000000,0.0610845748891055,2.9385253626067156,0.08483892230210058,0.08447442459919458,0.2,0.2
2050000000,2049000000,0.07222505045033183,2.927472138995324,0.0926131009680475,0.09256302160745504,0.2,0.2
2149000000,2149000000,0.07999335873343902,2.9195937571737565,0.09693941025764548,0.09651960372934489,0.2,0.2
2249000000,2249000000,0.09254931052766467,2.906909961991274,0.10592150916125634,0.10600239708231919,0.2,0.2
2349000000,2349000000,0.10163331012838743,2.8979606627114656,0.11020025512422686,0.11431501090005194,0.2,0.2
2451000000,2450000000,0.11590897288977405,2.883743083856528,0.11774493175073746,0.11799652687679288,0.2,0.2
2549000000,2549000000,0.12583172405712081,2.873791020305114,0.12245948538128945,0.12262102607343721,0.2,0.2
2649000000,2649000000,0.13605498192953222,2.8634224941846145,0.12739441982479605,0.12617631006413374,0.2,0.2
2749000000,2749000000,0.1523889024074836,2.8471535923349593,0.13464608991178714,0.13474648428241806,0.2,0.2
2849000000,2849000000,0.16356453292086967,2.835770713397605,0.13988999157247972,0.1377106676242162,0.2,0.2
2949000000,2949000000,0.18125698051893363,2.817916196860809,0.14743953616178823,0.14670571689507345,0.2,0.2
3049000000,3049000000,0.1938484223102689,2.8054558133982535,0.15247350515376468,0.15667396985801813,0.2,0.2
3149000000,3149000000,0.21342965487375237,2.7860210216156482,0.16041964884539345,0.16017964723053962,0.2,0.2
3249000000,3249000000,0.22683288248254985,2.772596241189933,0.16445356844491515,0.16448518535724116,0.2,0.2
3349000000,3349000000,0.2405124945237082,2.7587364065341826,0.1699836601393021,0.16823581015683736,0.2,0.2
3449000000,3449000000,0.26204009852409305,2.7372583663266448,0.17724909910184528,0.17754414755397932,0.2,0.2
3549000000,3549000000,0.2767895086397623,2.7223967897836907,0.18213905011385945,0.1804620541670767,0.2,0.2
3651000000,3650000000,0.2996700284952129,2.6993393402200043,0.19010166706324044,0.1883066150385305,0.2,0.2
3749000000,3749000000,0.31555415464737235,2.6834038946610783,0.1949197939737571,0.19482155714413368,0.2,0.2
3849000000,3849000000,0.3403893469431073,2.658751667666752,0.20215116013530113,0.20303239423978994,0.2,0.2
3950000000,3949000000,0.35726230404546155,2.6418295128906664,0.20704199720479183,0.2070588160863255,0.2,0.2
4049000000,4049000000,0.3832165808523624,2.6156868388999435,0.21440831740486677,0.21362354687077975,0.2,0.2
4149000000,4149000000,0.4011709381491182,2.597777533161917,0.21943724652232544,0.22009184280695113,0.2,0.2
4249000000,4249000000,0.4193639672447642,2.5794412640774924,0.2244167721016603,0.2226692448678485,0.2,0.2
4349000000,4349000000,0.44739589123846996,2.551140431520148,0.23212550787506098,0.23094612572896844,0.2,0.2
4449000000,4449000000,0.4667175623962959,2.5317146549172653,0.23802762209331996,0.23836499255844054,0.2,0.2
4549000000,4549000000,0.49686583716605914,2.5018429864276692,0.24495964285677796,0.24604857095047283,0.2,0.2
4652000000,4651000000,0.5172329283781046,2.481407561917676,0.24949304714160925,0.25050669636613876,0.2,0.2
4749000000,4749000000,0.5483566424432776,2.4500253841632924,0.25703932481675806,0.25582106475828664,0.2,0.2
4849000000,4849000000,0.5697596124161888,2.428646778197791,0.260799029316199,0.2641727941323967,0.2,0.2
4949000000,4949000000,0.5915336843695782,2.4068032713584886,0.266729984606037,0.267612403020806,0.2,0.2
5049000000,5049000000,0.6248076668293661,2.373298240897566,0.27423877543013336,0.27459449640248224,0.2,0.2
5149000000,5149000000,0.6475663197185089,2.350378108809723,0.2799689961298622,0.28104973112477677,0.2,0.2
5249000000,5249000000,0.6827740695060065,2.3152494897540845,0.28759835050610905,0.289927170775148,0.2,0.2
5349000000,5349000000,0.7066210094280388,2.2913443547854224,0.2917703850206574,0.2930676531230577,0.2,0.2
5449000000,5449000000,0.7430138495059831,2.2547274821226946,0.299243000459646,0.29852761875455497,0.2,0.2
5550000000,5549000000,0.7678403524130678,2.2298406198487584,0.30327462928498045,0.30656283872495693,0.2,0.2
5649000000,5649000000,0.8057335748240606,2.1917092645520238,0.31137342196912693,0.3103079496340878,0.2,0.2
5749000000,5749000000,0.8314528767679925,2.165769205704292,0.3162983421440995,0.31701902488226363,0.2,0.2
5849000000,5849000000,0.8575978248158054,2.139407334085423,0.321349568894518,0.3217824189950714,0.2,0.2
5949000000,5949000000,0.8981180314927156,2.0990531496774953,0.3288380967405837,0.3347077210594799,0.2,0.2
6050000000,6049000000,0.9254242384241692,2.0716280722612828,0.33426282063305557,0.3352746930289359,0.2,0.2
6149000000,6149000000,0.9670125013029216,2.0297912996045318,0.3413398187631646,0.3411306566696716,0.2,0.2
6249000000,6249000000,0.9951937738389739,2.001390615893637,0.3457722556009943,0.34706349354321586,0.2,0.2
6349000000,6349000000,1.0384416861758574,1.9580521215997315,0.3535076050747925,0.35518026354554133,0.2,0.2
6449000000,6449000000,1.0676121181819842,1.928650833349205,0.3577793200405082,0.3591430591656905,0.2,0.2
6549000000,6549000000,1.0972241992928444,1.8987899549513476,0.3638851785267898,0.3635278306350545,0.2,0.2
6649000000,6649000000,1.1427403755476275,1.8532099932240853,0.3709312847352398,0.37690107367338954,0.2,0.2
6749000000,6749000000,1.173572715739479,1.822299560676742,0.37587517536350123,0.37824025943414247,0.2,0.2
