%time,field.stamp,field.px,field.py,field.vx,field.vy,field.ux,field.uy
1825000000,1825000000,0.07875264808085464,0.035367555925215136,0.08518724642640917,-0.08473536080048313,0.2,-0.2
1925000000,1925000000,0.09316189414965836,0.04164194470462142,0.09193222680895571,-0.09333891579090184,0.2,-0.2
2025000000,2025000000,0.10345020051134263,0.04615290224645557,0.09806951611792579,-0.09896035438854733,0.2,-0.2
2126000000,2125000000,0.1195639143903535,0.05349719092515263,0.10515749954771413,-0.10054368977014239,0.2,-0.2
2226000000,2225000000,0.1309895776073471,0.05868778047048312,0.11010620821137986,-0.10922838527179057,0.2,-0.2
2325000000,2325000000,0.14304085916544637,0.06403654805883408,0.11501697096725219,-0.11521160926352876,0.2,-0.2
2426000000,2425000000,0.16222089197930886,0.07244601196754667,0.12239378493167505,-0.12367593065098885,0.2,-0.2
2525000000,2525000000,0.17552635901428146,0.07836494793822998,0.12742275987425133,-0.12722082100590648,0.2,-0.2
2627000000,2625000000,0.19676491680235328,0.08760553373497255,0.13491568867902254,-0.13714177694576038,0.2,-0.2
2725000000,2725000000,0.21154715324523446,0.09409163768555785,0.14013123380270498,-0.14137522703607058,0.2,-0.2
2830000000,2825000000,0.23444354321894564,0.10440996667901066,0.14750433457321135,-0.14314135567575736,0.2,-0.2
2925000000,2925000000,0.2502577961893024,0.11161638567207911,0.15294286538487387,-0.1512979320923398,0.2,-0.2
3025000000,3025000000,0.26679304269295834,0.11898516448426791,0.15748530442468472,-0.15685038300968504,0.2,-0.2
3126000000,3125000000,0.29275347214191044,0.13037146894157525,0.1650486579859635,-0.16657002661610446,0.2,-0.2
3225000000,3225000000,0.310568492341726,0.1382541575986623,0.1688143983034265,-0.16824434299095414,0.2,-0.2
3325000000,3325000000,0.33844117929648976,0.15054197401165686,0.1772317478199452,-0.17931863832626588,0.2,-0.2
3425000000,3425000000,0.35768551845835006,0.15899831433678344,0.18227174307306176,-0.18284588128424198,0.2,-0.2
3525000000,3525000000,0.38752594375451194,0.17224178632701573,0.19000644808142944,-0.18999602404683416,0.2,-0.2
3625000000,3625000000,0.4078086486448138,0.1814715211884114,0.1956783859517277,-0.19252993180113823,0.2,-0.2
3727000000,3726000000,0.439553084402422,0.19556582013731827,0.20211935073106307,-0.20273111678803726,0.2,-0.2
3827000000,3826000000,0.46145070568958013,0.205225900790166,0.20731593177818672,-0.20894110089708515,0.2,-0.2
3925000000,3925000000,0.4838023727073917,0.21510684527934595,0.21135398560737229,-0.21092380474837025,0.2,-0.2
4025000000,4025000000,0.5184344191840269,0.230362078116781,0.21949369733570573,-0.22218003558383329,0.2,-0.2
4125000000,4125000000,0.5422341145195623,0.24081550372166455,0.22447513024284815,-0.22545815759682541,0.2,-0.2
4225000000,4225000000,0.5788357973770095,0.25703334262577165,0.2330722196747723,-0.23151675363754995,0.2,-0.2
4325000000,4325000000,0.6035108582789023,0.2682555073658582,0.237008746615698,-0.23273994119589125,0.2,-0.2
4425000000,4425000000,0.6419680587652047,0.2853963128424091,0.24448544785441806,-0.24438794061149527,0.2,-0.2
4525000000,4525000000,0.6683700278275614,0.2970345311323292,0.24953493205064364,-0.2513440528240797,0.2,-0.18835355905419338
4625000000,4625000000,0.6952874419415981,0.30891328938966933,0.2539654046138586,-0.25490008628213656,0.2,-0.15334570334261866
4726000000,4725000000,0.7362645244151138,0.3272861720127414,0.2617235678128534,-0.25955827788316965,0.2,-0.10317825093482691
4827000000,4826000000,0.7641838448153314,0.3398490279283383,0.2660358396395045,-0.2629064949817275,0.2,-0.06831573293334015
4925000000,4925000000,0.8064735288708159,0.35946062650600147,0.27496914081849677,-0.2629913583976063,0.2,-0.035667055619208465
5025000000,5025000000,0.834740585482539,0.37303031065694503,0.2792152733169251,-0.26039067581645137,0.2,-0.024640864614347446
5125000000,5125000000,0.8775816952190503,0.39406416613065065,0.28676767744060594,-0.2644220877190543,0.2,0.023792591119264905
